City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
390,sasina,20,BA,1593272653,35,44.8,16.74,32.0,2.1
391,ho chi minh city,75,VN,1593272496,88,10.75,106.67,27.0,2.6
392,helong,100,CN,1593272654,88,42.54,129.0,15.31,1.34
393,karlstad,63,SE,1593272655,34,59.38,13.5,30.56,3.6
394,nyurba,82,RU,1593272656,82,63.28,118.33,16.83,0.74
395,ulaangom,86,MN,1593272656,53,49.98,92.07,19.96,2.84
396,labuhan,16,ID,1593272657,81,-6.88,112.21,25.12,2.82
397,mayo,40,US,1593272657,55,38.89,-76.51,30.0,3.6
398,calmatuiu,20,RO,1593272658,35,43.97,24.87,30.0,2.1
399,barmer,4,IN,1593272658,49,25.75,71.38,33.13,8.56
400,coos bay,40,US,1593272659,93,43.37,-124.22,15.56,4.6
